n,k,seed,nodes,restarts,peak depth,solving time,conflicts,propagations,sb propagations,sb prop / all prop,scc propagations,scc prop / all prop,average conflict size,unit nogoods learned,average nogood length,average backtrack amount,average lbd,base time,sb time,scc time
20,2,815025770,2,0,2,0.0001748,1,859,0,0.0,0,0.0,13.0,0,2.0,0.0,2.0,1.0500000000000001e-05,0.0,0.0
20,2,121638860,4,0,2,0.0003063,2,1274,0,0.0,0,0.0,8.0,1,1.5,0.0,1.5,6.300000000000001e-06,0.0,0.0
20,2,617124216,4,0,2,0.000156,3,968,0,0.0,0,0.0,2.0,1,1.6666666666666667,0.0,1.6666666666666667,1.15e-05,0.0,0.0
20,2,31181477,2,0,2,3.63e-05,0,572,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,9.3e-06,0.0,0.0
20,2,151027371,3,0,2,0.0002153,3,1060,0,0.0,0,0.0,2.3333333333333335,2,1.3333333333333333,0.0,1.3333333333333333,1.29e-05,0.0,0.0
20,2,929073728,15,0,4,0.0003116,5,1537,0,0.0,0,0.0,2.2,4,1.2,0.0,1.2,3.46e-05,0.0,0.0
20,2,665438818,1,0,1,0.0001767,1,698,0,0.0,0,0.0,2.0,1,1.0,0.0,1.0,1.04e-05,0.0,0.0
20,2,690696471,3,0,1,0.0001599,2,810,0,0.0,0,0.0,2.0,2,1.0,0.0,1.0,8.3e-06,0.0,0.0
20,2,639629718,3,0,2,0.0002276,1,745,0,0.0,0,0.0,18.0,0,2.0,0.0,2.0,1.48e-05,0.0,0.0
20,2,906444814,3,0,2,0.0001129,1,839,0,0.0,0,0.0,2.0,0,2.0,0.0,2.0,6.5000000000000004e-06,0.0,0.0
20,2,655772286,1,0,1,2.83e-05,0,562,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,5.500000000000001e-06,0.0,0.0
20,2,576983283,2,0,2,2.75e-05,0,570,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,6.300000000000001e-06,0.0,0.0
20,2,525787655,1,0,1,3.4e-05,0,559,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.2e-06,0.0,0.0
20,2,664654013,2,0,2,4.38e-05,0,568,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.04e-05,0.0,0.0
20,2,74090495,3,0,3,8.22e-05,1,762,0,0.0,0,0.0,2.0,1,1.0,0.0,1.0,8.5e-06,0.0,0.0
20,2,502353929,1,0,1,7.18e-05,1,605,0,0.0,0,0.0,2.0,1,1.0,0.0,1.0,7.7e-06,0.0,0.0
20,2,25915109,9,0,4,0.0001849,3,1096,0,0.0,0,0.0,2.0,1,2.0,0.0,2.0,1.73e-05,0.0,0.0
20,2,777948925,5,0,3,0.0001554,2,1045,0,0.0,0,0.0,2.0,0,2.5,0.0,2.0,1.34e-05,0.0,0.0
